label_id,label_freq
00081556X,1
000815616,14
000815667,1
000817694,1
000817759,1
000819131,1
000819271,1
00081931X,1
000819727,1
000819735,1
000820245,1
000820474,3
000821292,1
000821640,1
000822426,1
000824518,2
000824631,2
000825255,1
000825476,1
000825786,2
000826790,1
00082688X,1
000826901,1
000827142,1
000827215,1
000827428,1
000828149,1
000828254,5
000828920,1
000829218,1
00082948X,2
000830348,1
000832677,3
000832928,1
000832936,1
000832960,15
000833231,2
000835757,1
000835811,1
000836370,3
000836419,12
000836915,2
000837490,1
00083758X,1
000838896,3
000839817,1
000839825,1
000842893,1
00084361X,1
000843733,1
000843857,1
000844616,1
000845795,8
000846023,7
000848042,1
000849766,8
00090435X,1
000905097,5
000908061,5
000908274,1
000908479,1
000909203,1
000909424,2
000909475,1
000909661,3
000909688,6
000915297,1
000943185,1
001030027,1
001030248,1
001030299,1
001102362,1
001106716,1
001108786,1
001109022,2
001109154,1
001109162,1
001109340,4
001109502,1
001111620,10
001111639,61
001111647,8
001112988,1
001113062,1
00111381X,3
001114255,50
001114298,1
001114867,1
001115936,1
001116061,1
001116231,1
001117203,1
00111879X,1
001118994,1
001119249,1
001119311,1
001119729,1
001119753,1
00112059X,1
001120956,1
001121316,1
001121413,1
00112157X,4
001122266,1
001123092,1
00112367X,1
001123734,1
001123742,1
001123939,1
001124412,1
00112479X,14
001126873,8
001127047,1
001127276,2
001128469,5
001128515,4
001129732,1
001131265,1
001132032,1
001132555,1
001132989,10
001133373,1
001133802,5
001134663,1
001135155,1
001135694,1
001136240,7
001136291,1
00113664X,13
001140221,3
001140299,1
001140906,7
001145444,2
001147269,1
001150014,6
001150456,1
001150464,1
001151665,15
001151681,4
001152890,1
001152904,5
001154052,1
00115480X,7
001154885,5
001155091,1
001156276,1
00115642X,1
001156462,1
001157302,1
001157388,1
001157469,1
001160052,1
001160389,1
001161660,4
001162063,1
001163620,14
001163809,1
001163973,11
001164171,4
001164430,15
001165070,1
00116662X,1
001166956,1
001167294,1
001167316,2
001167790,1
001168002,1
001169165,11
00116936X,2
001169629,1
001169637,1
001170090,1
001171704,1
001172182,4
001172662,1
001173251,1
001173448,1
001173502,1
001174568,1
001175130,3
001175742,1
001176145,1
001177389,2
001177583,3
001177621,2
001178431,1
001179160,1
001179454,1
001179586,1
001179810,1
001180126,2
001180207,1
00118041X,1
001180932,1
001180940,4
001182730,1
001182781,1
001183699,1
001184288,1
001184350,4
001184687,1
001185039,1
001186361,1
001186574,1
001186752,1
001186892,1
001186981,2
001187325,2
001187678,2
001190938,1
001192795,1
001192965,1
001194283,6
001194607,1
001197479,1
001197622,2
001197657,1
001200380,1
001200461,1
001202537,1
00120260X,1
001204254,1
001210327,2
00121117X,1
001212206,1
001212397,1
001212435,1
001212575,1
001213105,1
001213571,1
001213644,22
001215019,1
001215221,5
001215280,1
001216481,1
001217488,1
001218034,1
001218913,1
001220217,9
001220357,3
00122199X,1
001222716,4
001223836,1
001223895,1
00122414X,1
001224212,1
001224336,1
001224654,1
001225529,4
001227971,1
001228501,1
001229338,1
001229494,1
001229508,1
001230301,2
001230476,1
001230670,1
001230859,1
001231529,4
001231979,1
001232096,1
001234501,1
001234617,1
001234722,5
001236938,1
001238639,1
00123904X,1
001239562,1
001239600,1
001240293,34
001241303,1
001242776,1
00124292X,1
001243268,1
001243543,2
00124356X,1
001243748,1
001244310,2
001244760,1
001244981,3
001247271,1
001248251,1
001248278,25
001248499,1
001248979,18
00124910X,1
001251325,1
001251813,1
001253050,1
00125314X,1
001256645,1
001256661,1
001259431,1
001260200,1
001261169,1
001262181,1
001263005,4
001265776,1
001265873,1
001267353,2
001268902,14
001270834,1
001272926,1
001274325,1
00128083X,2
001281984,1
001283251,1
001284967,1
00128620X,1
001293907,1
001296701,1
001300881,8
001302094,1
001304003,1
001304437,6
001305646,1
001310259,1
001312235,1
001316702,1
001317083,1
001318675,1
001321455,1
001323210,1
001323989,66
001325183,9
001329251,1
001331221,1
001332880,1
001334840,1
001335030,2
001335472,1
001336541,1
001339745,1
001340387,1
001356771,2
001357298,1
00135731X,1
001360302,11
001366343,2
001369512,1
001373587,1
001374052,1
001375059,1
001375695,1
001379704,6
001380931,4
00138144X,1
001384422,1
001385410,1
001389238,4
001395505,1
001397435,1
001403435,1
001403648,1
001405462,1
001405551,1
001420518,1
001423169,3
001458035,1
00146096X,1
001463136,1
002000636,1
002001993,1
002002167,1
002002558,1
002003562,2
00200366X,1
002003724,1
002004666,1
002005980,1
002018764,1
00201887X,1
002019299,1
002019388,1
002019973,1
002100215,1
002100568,4
002100967,21
002101173,1
002101505,1
002101769,1
002102501,1
002102595,1
002102749,1
002107260,1
002109441,1
002109646,1
002110830,1
002111659,1
002113163,4
002114275,2
002115980,2
002116855,1
002116928,1
002117142,1
002117290,1
002117770,1
002118114,1
002118246,1
002118254,3
002118262,1
002118521,2
002118718,1
002124092,3
002124106,1
002124998,1
002125552,1
002125625,1
002126117,1
00213134X,1
002131412,1
002131455,1
002133245,1
002133776,1
002133806,1
002134756,1
002134888,1
002135426,2
002136112,1
002137895,1
002137941,1
002138298,1
002138379,36
002138964,1
002139758,1
002140594,1
002141167,9
002145367,1
002145375,1
002145464,1
002146436,1
002146576,1
00214820X,1
002149443,2
002150042,1
002150573,1
002150751,2
002151340,1
002151367,1
002151448,1
00215157X,1
002155044,1
002155184,1
002155478,1
002156806,4
00215806X,1
002159082,1
002159260,1
002159309,2
002159732,1
002160137,1
002160196,1
002163217,3
002164175,1
00216535X,1
002166461,1
002167425,1
002167492,1
002170434,2
002171104,1
002172089,1
002172593,1
002172755,1
002173379,1
002173700,1
002176335,1
002176378,2
002176459,1
002176610,1
002176823,1
002176866,1
002177366,1
002178389,1
002178532,1
002178605,1
002178788,1
002178885,1
002190761,1
002191059,1
002191156,1
002192349,1
002193817,1
002194120,1
002194295,1
002194910,2
002195216,1
002196514,1
002197006,1
002198223,11
002198584,1
002199300,2
002199823,1
00221637X,1
00221640X,1
00221654X,1
002217244,7
002220202,1
002220415,1
00230063X,1
002301199,1
002350661,1
002350920,7
002351072,1
002351366,1
002353164,1
002353482,1
002354217,1
002354780,4
002355523,2
00235571X,3
002356333,1
002356724,1
002357534,1
002358956,1
002359030,1
00235957X,4
00235991X,1
002360217,1
002361264,1
002363267,1
002363429,1
002513870,4
00251432X,1
002523299,1
002523302,1
00252337X,1
002523426,197
002523531,1
002524589,1
00252533X,1
002525917,1
002532670,5
002535319,1
00253911X,1
002539632,1
002539977,1
002540037,1
00254010X,1
002540207,1
002541300,1
002543192,1
002543729,1
002544512,2
002544695,1
00254508X,9
002548305,1
002549158,1
002601966,1
002603535,1
002604191,1
002604957,1
002607247,1
00260728X,1
002608855,1
002609347,1
002609517,1
002611600,1
002611740,1
002612313,1
002612933,1
002613255,4
00261328X,1
002614227,1
002614634,1
002615304,1
002616726,1
002616866,1
002619490,1
002620790,1
002621010,1
002622173,1
002623781,1
002625865,1
002627485,1
002629992,1
002631873,1
002635666,1
002700034,3
002709880,1
002711052,5
00271308X,1
002715872,1
002716364,1
002716992,1
002717956,1
002720345,7
002721805,2
00272197X,1
002727102,1
002728702,1
002730146,1
002732629,1
002733250,1
002734370,1
002742519,1
00274340X,1
002745100,1
002753952,1
002754150,1
002755440,1
002757389,2
002757605,1
002757613,1
002757648,1
002758156,1
002758199,2
002762579,1
002763583,3
002768380,1
002770288,1
002772329,2
002775352,1
002775751,23
00278064X,1
002783177,7
00280042X,1
002800454,1
002800861,2
002801191,1
002802759,1
002803011,1
00280302X,1
